country,description,designation,points,price,province,region_1,title,variety,winery
Italy,"Vintner Salvatore Geraci is the proud producer of Palari Faro, one of the great red wines to emerge from the Mediterranean rim and the island of Sicily. The elegance and finesse is extraordinary and the wine opens with a complex bouquet that sees petite elements of cassis, licorice, tar and tobacco rolled into one.",,92,,Sicily & Sardinia,Faro,Palari 2007  Faro,Red Blend,Palari
US,"Quite a good Cabernet, virgorous and dry, with an earthy edge of sweet, dried herbs alongside the blackberries and cedar. More elegant and food-friendly than many of the fruitier, high alcohol, oaky Cabs out there.",Estate,92,50,California,Rutherford,Round Pond 2008 Estate Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Round Pond
Germany,"A lovely effort from proprietor Raimund Prüm, this plump, creamy-textured spätlese displays ample minerality—there's a distinctly slate-driven note—allied to ripe apple, stone fruit and citrus. Sweet but not overwhelmingly so, this would be terrific with slightly sweet or spicy dishes.",Graacher Himmelreich Spätlese,92,31,Mosel,,S.A. Prüm 2009 Graacher Himmelreich Spätlese Riesling (Mosel),Riesling,S.A. Prüm
US,"Spicy and assertive, this young, cellar-worthy Pinot Noir just hints at the complexity within. Give it plenty of air time and it opens aromatically with allspice, sandalwood, perhaps some cola and pine needle. The tart and tangy berry fruit is still compact and primary, but fully ripe and nicely sculpted into a well-defined wine from start to finish.",Arcus Estate,92,100,Oregon,Dundee Hills,Archery Summit 2008 Arcus Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit
France,"Old vines, at least 60 years old, are the basis for this soft, wood-aged wine. The texture is smooth, with rounded tannins and density. Flavors include licorice, bittersweet chocolate and black cherries.",Les Grézeaux,92,,Loire Valley,Chinon,Bernard Baudry 2009 Les Grézeaux  (Chinon),Cabernet Franc,Bernard Baudry
France,"This is firmly, tannic, the product of oak cask fermentation as well as aging. The tannins promise long aging, while the ripe black jelly fruit character brings out the richness of the vintage.",Clos du Chêne Vert,92,,Loire Valley,Chinon,Charles Joguet 2009 Clos du Chêne Vert  (Chinon),Cabernet Franc,Charles Joguet
France,"A wine that combines the richness of the vintage with the extreme flinty texture of young, dry Chenin Blanc. Packed with ripe acidity, it is pure, very crisp, yet for aging.",Cuvée Spéciale,92,,Loire Valley,Savennières,Château d'Epire 2009 Cuvée Spéciale  (Savennières),Chenin Blanc,Château d'Epire
US,"Made in a ripe, soft style that's unusual for Howell Mountain, this Zin could almost be Grenache, or even a big Pinot Noir. The cherry pie filling, raspberry cream and Dr. Pepper flavors are wrapped into soft, gentle tannins. It's a luxurious, exotic Zinfandel whose heat from high alcohol adds a spicy element.",,92,100,California,Howell Mountain,Dark Matter 2006 Zinfandel (Howell Mountain),Zinfandel,Dark Matter
Chile,"Hails from Macul, so it exhibits some normal eucalyptus on the nose along with spice and pointed, slightly piercing berry aromas. The palate is chewy, sweet, modern and ripe, with chunky berry, herb, olive and particularly graphite flavors. Settles on big black fruit and depth. Outstanding Chilean Cabernet with individuality. Best from 2013-2016.",,92,60,Maipo Valley,,Domus Aurea 2008 Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Domus Aurea
US,"A huge wine, explosive in ripe fruit, elaborated with rich oak and wrapped into smooth, sweet tannins. Made from vineyards throughout the county, it dazzles with a complex of blackberry jam, mocha, date, bacon and smoky sandalwood flavors. Really impressive, especially at this price. Drink Now–2015.",,92,25,California,Santa Barbara County,Rusack 2008 Syrah (Santa Barbara County),Syrah,Rusack
US,"This Pinot Noir needs a few years in the cellar to mellow, although you can decant it now to let it breathe. It's very rich in cherries, raspberries, licorice and sweet, smoky oak, with a soft, silky texture. Shows a real sense of sophistication.",Windy Hill Vineyard,92,50,California,Santa Cruz Mountains,Thomas Fogarty 2008 Windy Hill Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty
US,"A distinguished Cabernet whose superb tannins, which are firm and ripe and refined, testify to its Napa origins. So does the blackberry and currant fruit, which finishes in a swirl of sweet, smoky cedar wood. Good as it is, it's way too young. Should be best around 2015 and afterward.",Estate Bottled,92,55,California,Napa Valley,Tudal 2008 Estate Bottled Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Tudal
US,"This interesting wine is an unusual blend of Cabernet Sauvignon and other Bordeaux varieties with nearly half Syrah. It does what Napa does so well, offering a plethora of ripe, delicious cherry, black raspberry, dark chocolate, sweetly smoked oak and peppery spice flavors that are deep and long on the finish. A lovely, accessible wine to drink over the next few years.",Estate Limited Edition,92,50,California,Napa Valley,Viader 2008 Estate Limited Edition Red (Napa Valley),Red Blend,Viader
US,"A great Viognier, rich and exotic, showing the powerful fruit you want from this variety, in a balanced, elegant way. With a sweet, buttercream mouthfeel, it's brisk in acidity, with powerful flavors of tangerines, pineapples, golden mango and exotic spices, finished with smoky, sweet oak.",Estate,92,28,California,Sta. Rita Hills,Zotovich Cellars 2010 Estate Viognier (Sta. Rita Hills),Viognier,Zotovich Cellars
Italy,"From 29-year-old Pinot Nero vines, Pinéro is an elegant and fine still red wine produced by one of Italy's most celebrated sparkling wine houses. Polished and finessed down to the smallest detail (those tiny berry aromas come forth so clearly), this wine shows the potential of the Burgundian variety in Italy.",Pinéro,92,,Lombardy,Sebino,Ca' del Bosco 2006 Pinéro Pinot Nero (Sebino),Pinot Nero,Ca' del Bosco
France,Classic. Beautiful acidity is balanced by just a touch of sweetness. The wine is bright with apple and lime flavors.,Le Haut-Lieu Sec,92,28,Loire Valley,Vouvray,Domaine Huët 2010 Le Haut-Lieu Sec  (Vouvray),Chenin Blanc,Domaine Huët
US,"Very young, needs plenty of time. Still showing fermentation notes, with brisk, grapey acidity and primary cherry and raspberry fruit flavors. Seems brilliantly constructed and capable of aging, though. Hold until after 2012.",Walker Vine Hill,92,45,California,Russian River Valley,Donelan 2009 Walker Vine Hill Syrah (Russian River Valley),Syrah,Donelan
US,"The combination of very high alcohol and what tastes like residual sugar gives this Grenache an excessively sweet, glyceriney taste. It's fabulously rich in raspberry cream, blackberry jam, mocha, vanilla and cinnamon spice flavors. Very flamboyant and delicious, but really more of a dessert wine than a dry table wine.",Purisima Mountain Vineyard,91,48,California,Santa Ynez Valley,Beckmen 2008 Purisima Mountain Vineyard Grenache (Santa Ynez Valley),Grenache,Beckmen
US,"A field blend ice wine—don't see that very often—it's full-bodied, almost lush, and packed with mixed slightly candied fruits—tropical, stone fruits and citrus. Concentrated and poised, it balances on fresh acidity. Just a hint of plastic in the back of the finish.",Underwood Mountain Vineyards 55% Riesling/45% Gewurztraminer Ice Wine,91,60,Oregon,Columbia Gorge (OR),Viento 2009 Underwood Mountain Vineyards 55% Riesling/45% Gewurztraminer Ice Wine Gewürztraminer-Riesling (Columbia Gorge (OR)),Gewürztraminer-Riesling,Viento
Italy,"Camarato is a beautiful wine and the 2004 vintage shows impressive harmony and elegance. The wine opens with aromas of chocolate, black cherry and spice. In the mouth, it shows firm, enduring tannins. Pair it with a succulent steak.",Camarato,91,,Southern Italy,Falerno del Massico,Villa Matilde 2004 Camarato Red (Falerno del Massico),Red Blend,Villa Matilde
US,"The upside of the recession is that wines this good are being sold for lower prices, which is great news for consumers. This Cabernet, basically a négociant's blend, is really delicious. It's rich, dry, tannic and lush in blackberry and cherry tart, chocolate and smoky cedar flavors.",,91,25,California,Napa Valley,Wine Spots 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Wine Spots
US,"The best Clos Pegase Sauvignon Blanc in years. Made with a little oak, just enough for creaminess, it's marked by vibrant acidity and complex, lovely flavors of lemongrass, Meyer lemon candy, vanilla, white pepper and the distinct minerality that Carneros white wines often display. Great price for a wine this sophisticated.",Mitsuko's Vineyard,91,20,California,Carneros,Clos Pegase 2009 Mitsuko's Vineyard Sauvignon Blanc (Carneros),Sauvignon Blanc,Clos Pegase
France,"A finely crafted wine, its tight acidity generating a very fresh profile. There is an intensity of fruit as well as a mineral texture. For aging. Screwcap.",Clos de Saint-Yves,91,,Loire Valley,Savennières,Domaine des Baumard 2007 Clos de Saint-Yves  (Savennières),Chenin Blanc,Domaine des Baumard
Germany,"The Thanisch wines from the Doctor vineyard rarely stand out in our magazine's blind tastings, making their value proposition questionable. That said, this is a finely elegant wine, with floral details on the nose and enduring stony notes on the finish that mark it as something special. At only 7.5% abv, you'd expect an intensely sweet wine, but the sugars are amply buffered by acids and minerality, so the overall impression is one of richness without excessive weight rather than sugary sweetness.",Berncasteler Doctor Auslese,91,84,Mosel,,Dr. H. Thanisch (Erben Thanisch) 2009 Berncasteler Doctor Auslese Riesling (Mosel),Riesling,Dr. H. Thanisch (Erben Thanisch)
US,"A real bruiser of a Zinfandel, dark in color, dry and tannic, brimming with massive flavors of wild blackberries, blueberries, dark chocolate and pie spices. The tannins are hard, in the way of this mountain. Drink Now–2013 before it loses fresh fruit.",,91,37,California,Howell Mountain,Elyse 2007 Zinfandel (Howell Mountain),Zinfandel,Elyse
US,"A blend of Roussanne, Marsanne and Viognier, this was made in the passito style—grapes were dried to concentrate sugars, then pressed and fermented. The result is a terrific and unusual dessert wine, with candied fruits mixing papaya, guava, banana, Meyer lemon and more. The center is simply lush and fruity; the finish tails off gently with a honeyed kiss.",Passito,91,28,Oregon,Oregon,Francis Tannahill 2008 Passito White (Oregon),Rhône-style White Blend,Francis Tannahill
US,"Smooth as silk, all estate-grown, this classy Pinot lists five Dijon clones, Pommard, Wadenswil and “Suitcase clone La Tache” on its tech sheet. Vibrant and spicy, with cherries galore (sounds like a James Bond heroine) and a round, full, lush and satisfying mouthfeel. This is the one to drink now, while you cellar the Cuvée Giselle.",Lachini Family Estate,91,45,Oregon,Chehalem Mountains,Lachini 2008 Lachini Family Estate Pinot Noir (Chehalem Mountains),Pinot Noir,Lachini
Italy,"Named for a beautifully restored castle and boutique hotel in Abruzzo, this beautiful Italian white (made with Trebbiano grapes) shows a delicious creamy texture with abundant aromas of stone fruit, honey and toasted almond. The wine is thick and textured on the close.",Castello di Semivicoli,91,50,Central Italy,Trebbiano d'Abruzzo,Masciarelli 2007 Castello di Semivicoli  (Trebbiano d'Abruzzo),Trebbiano,Masciarelli
US,"A nice, everyday Pinot, with a properly silky texture. The cherry, cola, red licorice and bacon flavors are satisfyingly rich, with elaborate oak overtones. It's a pretty good value in an under-$20 Pinot Noir.",Reserve,86,18,California,Russian River Valley,Castle Rock 2008 Reserve Pinot Noir (Russian River Valley),Pinot Noir,Castle Rock
France,"Somewhat hard-edged wine, showing the sharpness of young Chenin Blanc. It has a future, though, as this edge drops away, because there is some good weight as well as bright fresh final acidity. Keep for several months.",Brut,86,17,Loire Valley,Crémant de Loire,Château Moncontour NV Brut Chenin Blanc-Chardonnay (Crémant de Loire),Chenin Blanc-Chardonnay,Château Moncontour
US,"Very rich, ripe and oaky, but something of a fruit-oak bomb. Blasts the palate with pineapple jam, toasty meringue, caramel and buttered toast aromas and flavors. Lacks subtlety.",,86,36,California,Carneros,Derbes 2006 Chardonnay (Carneros),Chardonnay,Derbes
US,"With no oak, this wine's inherent fruit stars, showing citrus, melons and peaches. With crisp acidity, it's clean, brisk and entirely dry, despite relatively low alcohol. But it's strong in those perfumed pyrazines that turn some people off.",,86,18,California,Rutherford,Frog's Leap 2009 Sauvignon Blanc (Rutherford),Sauvignon Blanc,Frog's Leap
Australia,"Juicy and extracted, with bright jam tones and an open-knit structure. There's plenty of berry fruit here and a nice plum tone to the palate that carries over to the fleeting finish. A good choice for a big crowd.",,86,12,South Australia,South Australia,Hellbent 2008 Shiraz-Cabernet Sauvignon (South Australia),Shiraz-Cabernet Sauvignon,Hellbent
US,"At 2.3% residual sugar, this is nicely balanced between sweet and dry. The fruit links peach, apricot and pear with a honey in tea streak that carries into the finish.",,86,10,Washington,Washington,Washington Hills 2008 Riesling (Washington),Riesling,Washington Hills
Portugal,"Great nutty aromas come from the glass and follow into the palate of this sweeter style of white Port. It is rich, packed with almonds and a tangy orange zest edge.",White Reserva,86,,Port,,Ramos-Pinto NV White Reserva  (Port),White Port,Ramos-Pinto
Italy,"Here's a light and refreshing Rosso di Montalcino with sharp notes of berry, cherry, wet earth and violets. You'll also get some distant mineral tones that add dimension and personality. Pair this easy-drinking wine with your favorite home-cooked pasta dishes.",,86,,Tuscany,Rosso di Montalcino,Sesti 2008  Rosso di Montalcino,Sangiovese Grosso,Sesti
US,"This red wine, named for the chef at the winery restaurant, is fruity and high-toned, with lots of cherry and berry flavor. All neutral oak, soft tannins, ready to drink.",Frank Chiullino Chef Blend Red,86,55,Washington,Columbia Valley (WA),Tagaris 2007 Frank Chiullino Chef Blend Red Red (Columbia Valley (WA)),Red Blend,Tagaris
Spain,"Aromas of fresh tomato, citrus peel and red fruits are a touch austere, but the mouth and flavors are more generous. The palate is well balanced and the flavors run sweet, ripe and chewy, with berry fruit and creamy licorice notes on the finish. A blend of 60% Syrah and 40% Garnacha from Catalonia.",,86,12,Catalonia,Terra Alta,Las Colinas Del Ebro 2008 Syrah-Grenache (Terra Alta),Syrah-Grenache,Las Colinas Del Ebro
Australia,"A solid value, the Marquee Victoria Chardonnay has an appealing restraint, hitting pretty high notes on the nose but turning serious and weighty in the mouth. The cream and papaya flavors reach a nice intensity before fading to a mouthwatering finish of guava and pine nuts. Drink now.",Classic,86,12,Victoria,Victoria,Marquee 2008 Classic Chardonnay (Victoria),Chardonnay,Marquee
Spain,"Definitely an herbal wine, with tomato, oregano, pizza sauce and savory aromas. The palate has good snap and verve to it, while the feel is on the lean side. Flavors of baked berry, earth, caramel and coffee ring true, and the dry, toffee-tinged finish is a nice ending. Ready to go now.",Reserva,86,12,Central Spain,Valdepeñas,Anciano 2003 Reserva Tempranillo (Valdepeñas),Tempranillo,Anciano
US,"As with the Avery Lane Merlot, this is a rather complex blend, here including Syrah, Cab Franc and Lemberger. Fruity and spicy, with strawberry and cherry candy flavors. Very pleasing picnic wine.",,86,10,Washington,Washington,Avery Lane 2007 Cabernet Sauvignon (Washington),Cabernet Sauvignon,Avery Lane
US,"A nice, rich Sauvignon Blanc for drinking now with lots of different kinds of foods. With some new oak, it has fruity-sweet flavors of limes, Meyer lemons, apricots and lemongrass, with a tang of gooseberry.",Estate,86,23,California,Sonoma Valley,Beltane Ranch 2009 Estate Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Beltane Ranch
Spain,"Tight and largely neutral white fruit aromas show a little apple but little more. The palate is friendly and easy, with melon as the lead flavor. Turns more citrusy and weighty on the finish, which fades fast.",Viña do Campo,86,18,Galicia,Ribeiro,Bodegas Docampo 2008 Viña do Campo White (Ribeiro),White Blend,Bodegas Docampo
Portugal,"A fresh-faced wine, bright with berry fruits, a light layer of tannins and a soft, easy texture. There is some stalkiness but this is great as a delicious, easy wine.",Chaminé,86,12,Alentejano,,Cortes de Cima 2009 Chaminé Red (Alentejano),Portuguese Red,Cortes de Cima
US,"Rich in berry, cherry, cola, pepper and sandalwood flavors, but a bit off in texture. Feels jagged and angular, with some green tannins. Ready now.",Crane Ranch Vineyard,86,36,California,Napa Valley,Crane Brothers 2006 Crane Ranch Vineyard Syrah (Napa Valley),Syrah,Crane Brothers
US,"Very oaky and very ripe, offering a flood of pineapple jam, pear, vanilla and toasty oak flavors. Crisp acidity provides needed balance and a clean, brisk mouthfeel.",Cool Coastal Vineyards,86,18,California,Russian River Valley,De Loach 2008 Cool Coastal Vineyards Chardonnay (Russian River Valley),Chardonnay,De Loach
France,"Showing pure tropical fruits with a squeeze of lemon, this is a ripe, tasty wine, maybe a little short on acidity, but bringing out ripe lychee and mango flavors.",Les Bornés,86,,Loire Valley,Menetou-Salon,Domaine Henry Pellé 2008 Les Bornés  (Menetou-Salon),Sauvignon Blanc,Domaine Henry Pellé
Spain,"Darker and earthier than most basic Garnachas, with aromas of compost, baked earth, crusty black fruits and leather. The palate has a nice, ripe, bodied feel, while flavors of blackberry and boysenberry bring just the slightest hint of herbal green. Toasty and solid on the finish.",Kickass,86,13,Northern Spain,Cariñena,El Burro 2008 Kickass Garnacha (Cariñena),Garnacha,El Burro
US,"Showing the hard tannins and dryness of a young Petite Sirah, this is the kind of wine you normally would cellar. But there's a little streak of green unripeness that suggests aging will lead nowhere. So drink it now with big, lusty fare.",Fazekas,86,34,California,Napa Valley,Enkidu 2006 Fazekas Petite Sirah (Napa Valley),Petite Sirah,Enkidu
Spain,"Opens with common berry fruit aromas as well as a medicinal, minty note. The palate has short length and definition along with bouncy medium-depth berry flavors. Warm, simple touches of licorice and mint define the finish. A blend of 60% Monastrell with 20% each Syrah and Tempranillo.",Roble,86,15,Levante,Yecla,Valle de Salinas 2008 Roble Red (Yecla),Red Blend,Valle de Salinas
US,"A very nice, likeable and super-drinkable Sauvignon Blanc, at an everyday price. Nicely crisp and just slightly sweet, it shows fruity flavors of citrus and tropical fruits, pears and melons.",,86,12,California,Paso Robles,Villa San Juliette 2008 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Villa San Juliette
US,"Barrel-fermented in neutral wood, this gives a quick whiff of buttered croissant, then dives into a moderately ripe palate with lime, pineapple and lemon rind. It's an all-purpose and appealing wine that is drinking nicely right now.",Barrel Fermented,87,25,Oregon,Applegate Valley,Plaisance Ranch 2014 Barrel Fermented Chardonnay (Applegate Valley),Chardonnay,Plaisance Ranch
Italy,"This opens with aromas of hay, pressed yellow flower and orchard fruit. The direct palate offers yellow apple skin, toasted nut and a mineral note alongside invigorating acidity.",,87,24,Northeastern Italy,Friuli Colli Orientali,Poggiobello 2014 Pinot Grigio (Friuli Colli Orientali),Pinot Grigio,Poggiobello
US,"Closed and youthful, this wine is medium in build and subtle in oak. It conveys a briny streak throughout the palate, and a distinct taste of candied lemon.",,87,22,California,Sonoma County,Previous 2013 Chardonnay (Sonoma County),Chardonnay,Previous
Italy,"Gold with copper hues, this opens with aromas of wildflower, tangerine zest and a whiff of crushed stone. The vibrant palate offers rennet apple, lime, ginger drop and a hint of mineral alongside mouthwatering acidity.",Santa Lucia,87,16,Northeastern Italy,Collio,Primosic 2014 Santa Lucia Pinot Grigio (Collio),Pinot Grigio,Primosic
Portugal,Arinto is the real local grape of the small city of Bucelas where this quinta is located. This fresh wine shows its light mineral and citrus character very well. It also brings out riper fruit flavors that fill it out and give it a rich character. The wine is ready to drink now.,Prova Régia,87,11,Lisboa,,Quinta da Romeira 2014 Prova Régia Arinto (Lisboa),Arinto,Quinta da Romeira
US,"Thick, rich and ripe in vanilla, the American oak in this wine is pronounced and intense, wrapping itself around notes of candied apple and toffee-caramel.",Barrel Select American Oak Reserve,87,34,California,Carneros,Roche 2013 Barrel Select American Oak Reserve Chardonnay (Carneros),Chardonnay,Roche
Italy,"Grapefruit, mineral and freshly cut grass aromas lead the way. On the palate, brisk acidity supports pink grapefruit, tangerine and a mineral note.",,87,20,Northeastern Italy,Collio,Ronco dei Tassi 2014 Sauvignon (Collio),Sauvignon,Ronco dei Tassi
France,"It's the delicious, clean, crisp fruit that's so good about this wine. It is bright with acidity and crisp apple flavors along with a lemon tang texture giving a fine bite. Stylish and fresh, it is a fine apéritif wine in style.",Brut,87,21,Loire Valley,Crémant de Loire,Sauvion NV Brut Sparkling (Crémant de Loire),Sparkling Blend,Sauvion
Italy,"Pear, white flower and crushed rock open on the nose. On the vibrant palate, a mineral note wraps around a core of crisp apple while bracing acidity provides the backbone.",Plotzner,87,20,Northeastern Italy,Alto Adige,St. Pauls 2014 Plotzner Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls
Italy,"Intense aromas of pressed broom, dried herb, hay and a whiff of tomato vine come together in the glass. The palate is fresh but rather closed, eventually revealing yellow apple skin, mineral and a saline note.",,87,,Northeastern Italy,Collio,La Rajade 2014 Friulano (Collio),Friulano,La Rajade
Italy,"Aromas of toasted nut, citrus and oak lead the nose. The linear, rather lean palate shows yellow apple skin, bitter almond and lime zest. A mineral note signals the finish.",Col Livius,87,22,Northeastern Italy,Friuli Colli Orientali,La Tunella 2013 Col Livius Friulano (Friuli Colli Orientali),Friulano,La Tunella
Italy,"Fresh and fruity, this lively white offers aromas and flavors of green Anjou pear, Granny Smith apple and white peach. Zesty acidity gives it a crisp, tangy finish.",Ritratti,87,19,Northeastern Italy,Trentino,La Vis 2014 Ritratti Pinot Grigio (Trentino),Pinot Grigio,La Vis
Italy,"Delicate varietal aromas of tomato vine, cut grass, citrus and yellow stone fruit come together on this lively wine. The linear palate offers green melon, juicy grapefruit and a hint of tangerine alongside zesty acidity.",Vigna Maso Tratta,87,19,Northeastern Italy,Trentino,La Vis 2014 Vigna Maso Tratta Sauvignon (Trentino),Sauvignon,La Vis
US,"Rhubarb and cranberry fruit, along with a touch of red apple suggests minimal ripening. It's a tangy, pleasant wine, light and optimal for near-term drinking with simple poultry dishes.",,87,38,Oregon,Oregon,Le Cadeau 2013 Pinot Noir (Oregon),Pinot Noir,Le Cadeau
France,"A fresh, citrus flavored wine with attractive fruitiness and a crisp texture. There is a yeasty edge that should vanish and leave just fruit. Because it is mainly made from Chenin Blanc, there is a nutty, honeyed aftertaste.",Platine Brut,87,22,Loire Valley,Crémant de Loire,Louis de Grenelle NV Platine Brut Sparkling (Crémant de Loire),Sparkling Blend,Louis de Grenelle
Italy,"Aromas of apple, spring flower, bread crust and crushed rock come together in the glass. The brisk palate offers unripe Kaiser pear, citrusy notes and mineral set against a backbone of racy acidity.",Eichorn,87,30,Northeastern Italy,Alto Adige Terlano,Manincor 2014 Eichorn Pinot Bianco (Alto Adige Terlano),Pinot Bianco,Manincor
US,"This is a tangy, not entirely varietal wine that's dense in black tea and black fruit, with layers of tobacco and dried herb. Give it time in the glass to open.",Cornerstone Vineyard,87,31,California,Carneros,Meadowcroft 2013 Cornerstone Vineyard Pinot Noir (Carneros),Pinot Noir,Meadowcroft
US,"Pomegranate, dark plum and slate show on the simple nose of this appellation blend. The palate is light, with hints of strawberry and plum as well as pencil lead and mace. It's a great option for chilling a bit and drinking on the beach.",,87,36,California,Santa Cruz Mountains,Mignanelli 2013 Pinot Noir (Santa Cruz Mountains),Pinot Noir,Mignanelli
Argentina,"This waxy, heavily oaked Chardonnay regularly pulls the same score. This vintage has aromas of grapefruit, quince and garlic. Blasting oak and modest acidity result in flatness, while oak resin is by far the dominant flavor, with creamy apple and pithy bitterness lurking.",Lindaflor,87,35,Mendoza Province,Uco Valley,Monteviejo 2013 Lindaflor Chardonnay (Uco Valley),Chardonnay,Monteviejo
Italy,"The nose of this lively white is a combination of delicate aromas of wildflower and orchard fruit while the bright palate offers tart Granny Smith apple, tangerine and a hint of crushed stone. Vibrant acidity carries through to the crisp finish.",,87,20,Northeastern Italy,Alto Adige,Nals Margreid 2014 Pinot Grigio (Alto Adige),Pinot Grigio,Nals Margreid
Spain,"Apple, peach and melon aromas are clean and fruity. The palate on this Verdejo is melony, which matches the wine's melon and papaya flavors. On the finish, a note of apple cider is detectable. Because of moderate acidity and some flab, it's advisable to drink this now.",Old Vines,87,17,Northern Spain,Rueda,Nisia 2014 Old Vines Verdejo (Rueda),Verdejo,Nisia
US,"Law enforcement veteran-turned-winemaker Cindy Cosco named this brand for her Italian roots, and presents violet, red cherry and pencil-lead aromas in this bottling. A wild-herb character powers the palate, with bay leaf most prominent, followed by tart elderberries and orange-peel sourness. The grippy palate will open more with age.",Lone Oak Vineyard,87,47,California,Santa Lucia Highlands,Passaggio 2014 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Passaggio
US,"This Bordeaux-style blend is 25% Merlot, the rest an even split between Malbec and Cabernet Franc. Stiff, tannic and earthy, it delivers robust flavors of herb and bark more than ripe fruit. With its assertive tannins, it should stand up well to a grilled tri-tip.",Ranch,87,25,Oregon,Applegate Valley,Plaisance Ranch 2013 Ranch Red (Applegate Valley),Red Blend,Plaisance Ranch
Portugal,"A juicy, fruity wine that is named after the Knights Templar who built a magnificent castle and convent in the local city of Tomar. It is fresh with red berry acidity and some perfumed tannins. It should be ready to drink soon, but wait until the end of 2016 for the best results.",Templários Colheita Seleccionada,87,18,Tejo,,Quinta do Cavalinho 2013 Templários Colheita Seleccionada Red (Tejo),Portuguese Red,Quinta do Cavalinho
US,"Leather saddle wafts from the glass atop ripe cherry, blackberry jam and brown sugar. Tightly wound in tannin and oak, this wine becomes pleasantly juicy on the finish.",,87,30,California,Dry Creek Valley,Rodney Strong 2013 Zinfandel (Dry Creek Valley),Zinfandel,Rodney Strong
Italy,"The nose is a bit shy but reveals delicate scents of citrus and a whiff of peach blossom while the vibrant palate displays crisp apple, tangerine and a hint of steely mineral. Brisk acidity gives it a clean, refreshing finish.",,87,15,Northeastern Italy,Collio,Ronco Blanchis 2014 Ribolla Gialla (Collio),Ribolla Gialla,Ronco Blanchis
US,"Lavender and lilac are just part of the floral bouquet that emerges from this wine, which also shows a blackberry vinaigrette element on the nose. Once sipped, it's like sucking on a purple-flower candy, with more lavender as well as plum and a pencil-lead edge that cuts through the palate.",Old Vine,87,30,California,Santa Clara Valley,Sarah's Vineyard 2011 Old Vine Zinfandel (Santa Clara Valley),Zinfandel,Sarah's Vineyard
Italy,"Delicate but alluring scents of spring flower and orchard fruit lift out of the glass. The palate is linear and rather lean but still refreshing, offering pear, yellow apple and mineral alongside bracing acidity. It closes crisp and clean.",,87,20,Northeastern Italy,Alto Adige,St. Pauls 2014 Pinot Grigio (Alto Adige),Pinot Grigio,St. Pauls
Italy,"Fresh and lively, this opens with aromas of jasmine, tropical fruit and a whiff of flint. The vibrant palate offers crunchy Granny Smith and candied lemon alongside brisk acidity. A mineral note energizes the crisp finish.",,87,,Northeastern Italy,Collio,Tenuta di Angoris 2014 Pinot Grigio (Collio),Pinot Grigio,Tenuta di Angoris
US,"This is a thick, rich and very ripe wine, with a charred back note making its way against higher-toned tastes of red raspberry and blackberry. The oak is integrated and the wine softly varietal, but it packs a punch on the palate.",Attila's Selection,87,38,California,Sonoma County,Buena Vista 2013 Attila's Selection Zinfandel (Sonoma County),Zinfandel,Buena Vista
Argentina,"Sharp, prickly aromas suggest tart red plum and wild herbs. The palate is a bit heavy and sticky, with sweet, gummy, medicinal berry flavors. Finishes bitter and peppery, with a medicinal aftertaste.",1492,83,7,Mendoza Province,Mendoza,Don Cristobal 1492 2010 1492 Red (Mendoza),Red Blend,Don Cristobal 1492
Argentina,"Tomato leaf, rhubarb and herbal aromas come in front of a tight, tannic and prickly palate with green, spicy berry flavors. Turns hot and smacky on the finish, with carob and herbal flavors.",,83,8,Mendoza Province,Mendoza,Finca El Origen 2010 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Finca El Origen
US,"Pretty good for the price, with jammy cherry, berry, cocoa and spice flavors. An easy Zin to drink with BBQ or pasta with tomato sauce.",Old Vine,83,10,California,California,Glen Ellen 2009 Old Vine Zinfandel (California),Zinfandel,Glen Ellen
US,"A heavy, sweet Zin. With 16% alcohol, it tastes like a simple Port, with raisin, blackberry and chocolate flavors.",Carreras Ranch,83,38,California,Dry Creek Valley,Manzanita Creek 2005 Carreras Ranch Zinfandel (Dry Creek Valley),Zinfandel,Manzanita Creek
Argentina,"Salinic and minerally on the nose, with a hint of peach. The palate is wet and light, however the flavors run stalky and tart, with green banana and bitterness leading to a chalky finish. Quaffable.",,83,13,Other,San Juan,Montepio 2010 Pinot Gris (San Juan),Pinot Gris,Montepio
Argentina,"Red plum, tomato and brambly herbal aromas set up a snappy, astringent palate with strained raspberry, spice and herbal flavors. Very dry and acidic as it transitions to the finish. An herbal, sharp-edged red.",Tinto Fundación,83,11,Mendoza Province,Mendoza,Notro 2010 Tinto Fundación Red (Mendoza),Red Blend,Notro
Spain,"Salmon colored, with somewhat flat aromas of peach and sweet melon. Sweet on the palate, with weight and thickness along with cantaloupe and a candied aftertaste. Finishes chunky and flat; tasted twice with inconsistent findings. This note reflects the better bottle.",Rosado,83,14,Northern Spain,Navarra,Ochoa 2010 Rosado Garnacha (Navarra),Garnacha,Ochoa
